condition,image,total_count,nascent_count,single_molecule_count,avg_intensity
DMSO,MCF7_AREG_DMSO_001_ch1_projection.tif,253,154,99,0.4081403162055336
DMSO,MCF7_AREG_DMSO_002_ch1_projection.tif,292,212,80,0.5018702392748544
DMSO,MCF7_AREG_DMSO_003_ch1_projection.tif,270,178,92,0.37584657402793925
DMSO,MCF7_AREG_DMSO_004_ch1_projection.tif,418,267,151,0.4667944019856818
DMSO,MCF7_AREG_DMSO_005_ch1_projection.tif,174,130,44,0.4773216258649764
DMSO,MCF7_AREG_DMSO_006_ch1_projection.tif,416,312,104,0.5957944651741294
DMSO,MCF7_AREG_DMSO_007_ch1_projection.tif,431,345,86,0.5372750613109767
DMSO,MCF7_AREG_DMSO_008_ch1_projection.tif,188,22,166,0.25519661094939433
DMSO,MCF7_AREG_DMSO_009_ch1_projection.tif,549,388,161,0.47667466170323225
DMSO,MCF7_AREG_DMSO_010_ch1_projection.tif,474,312,162,0.4660588070321387
DMSO,MCF7_AREG_DMSO_011_ch1_projection.tif,139,80,59,0.3582116449697385
DMSO,MCF7_AREG_DMSO_012_ch1_projection.tif,283,205,78,0.47591086824210416
DMSO,MCF7_AREG_DMSO_013_ch1_projection.tif,329,273,56,0.45003643949574074
DMSO,MCF7_AREG_DMSO_014_ch1_projection.tif,69,12,57,0.25765961757899564
DMSO,MCF7_AREG_DMSO_015_ch1_projection.tif,161,115,46,0.3880208774504746
DMSO,MCF7_AREG_DMSO_016_ch1_projection.tif,436,330,106,0.43174830069562964
DMSO,MCF7_AREG_DMSO_017_ch1_projection.tif,507,427,80,0.691176427489149
DMSO,MCF7_AREG_DMSO_018_ch1_projection.tif,310,244,66,0.4673323349657992
DMSO,MCF7_AREG_DMSO_019_ch1_projection.tif,434,320,114,0.5088067860767167
DMSO,MCF7_AREG_DMSO_020_ch1_projection.tif,423,250,173,0.3480327278160071
DMSO,MCF7_AREG_DMSO_021_ch1_projection.tif,156,126,30,0.5077797931495681
DMSO,MCF7_AREG_DMSO_022_ch1_projection.tif,153,103,50,0.37432487965245975
DMSO,MCF7_AREG_DMSO_023_ch1_projection.tif,111,5,106,0.17888201992248237
DMSO,MCF7_AREG_DMSO_024_ch1_projection.tif,442,320,122,0.33953730925222086
DMSO,MCF7_AREG_DMSO_025_ch1_projection.tif,132,87,45,0.45987917433903935
JQ1,MCF7_AREG_JQ1_301_ch1_projection.tif,249,196,53,0.4742994768272993
JQ1,MCF7_AREG_JQ1_302_ch1_projection.tif,34,17,17,0.34120613782077697
JQ1,MCF7_AREG_JQ1_303_ch1_projection.tif,90,30,60,0.36759954828889874
JQ1,MCF7_AREG_JQ1_304_ch1_projection.tif,211,7,204,0.19303928649267732
JQ1,MCF7_AREG_JQ1_305_ch1_projection.tif,387,268,119,0.390575418842154
JQ1,MCF7_AREG_JQ1_306_ch1_projection.tif,102,84,18,0.4261616102168731
JQ1,MCF7_AREG_JQ1_307_ch1_projection.tif,243,10,233,0.20406022686067363
JQ1,MCF7_AREG_JQ1_308_ch1_projection.tif,180,50,130,0.28115488369725666
JQ1,MCF7_AREG_JQ1_309_ch1_projection.tif,61,44,17,0.38786676412237653
JQ1,MCF7_AREG_JQ1_310_ch1_projection.tif,234,181,53,0.4504708531654639
JQ1,MCF7_AREG_JQ1_311_ch1_projection.tif,70,18,52,0.28748980488110926
JQ1,MCF7_AREG_JQ1_312_ch1_projection.tif,145,13,132,0.23910735901176325
JQ1,MCF7_AREG_JQ1_313_ch1_projection.tif,119,8,111,0.20723643169058018
JQ1,MCF7_AREG_JQ1_314_ch1_projection.tif,212,145,67,0.3582779830122542
JQ1,MCF7_AREG_JQ1_315_ch1_projection.tif,138,106,32,0.4124546123266661
JQ1,MCF7_AREG_JQ1_316_ch1_projection.tif,243,155,88,0.40034220170240736
JQ1,MCF7_AREG_JQ1_317_ch1_projection.tif,59,37,22,0.4455916431093263
JQ1,MCF7_AREG_JQ1_318_ch1_projection.tif,200,20,180,0.20920176807072285
JQ1,MCF7_AREG_JQ1_319_ch1_projection.tif,154,113,41,0.41928416116912703
JQ1,MCF7_AREG_JQ1_320_ch1_projection.tif,182,155,27,0.3951099421576213
JQ1,MCF7_AREG_JQ1_321_ch1_projection.tif,169,59,110,0.3274486742758944
JQ1,MCF7_AREG_JQ1_322_ch1_projection.tif,216,165,51,0.3587412781808578
JQ1,MCF7_AREG_JQ1_323_ch1_projection.tif,115,83,32,0.461014968777182
JQ1,MCF7_AREG_JQ1_324_ch1_projection.tif,25,2,23,0.21719089316987739
JQ1,MCF7_AREG_JQ1_325_ch1_projection.tif,161,115,46,0.3516601292746257
TSA,MCF7_AREG_TSA_601_ch1_projection.tif,58,11,47,0.2593703148425787
TSA,MCF7_AREG_TSA_602_ch1_projection.tif,49,23,26,0.3558164309736177
TSA,MCF7_AREG_TSA_603_ch1_projection.tif,162,3,159,0.25961024889743467
TSA,MCF7_AREG_TSA_604_ch1_projection.tif,10,3,7,0.285531914893617
TSA,MCF7_AREG_TSA_605_ch1_projection.tif,99,11,88,0.25681397718616134
TSA,MCF7_AREG_TSA_606_ch1_projection.tif,67,16,51,0.28843225910632303
TSA,MCF7_AREG_TSA_607_ch1_projection.tif,72,20,52,0.28406133828996283
TSA,MCF7_AREG_TSA_608_ch1_projection.tif,205,17,188,0.23168214365629894
TSA,MCF7_AREG_TSA_609_ch1_projection.tif,185,46,139,0.32951556591672154
TSA,MCF7_AREG_TSA_610_ch1_projection.tif,84,17,67,0.27110906680910835
TSA,MCF7_AREG_TSA_611_ch1_projection.tif,72,24,48,0.3107414448669201
TSA,MCF7_AREG_TSA_612_ch1_projection.tif,115,30,85,0.2930454500640836
TSA,MCF7_AREG_TSA_613_ch1_projection.tif,39,3,36,0.22253824606765782
TSA,MCF7_AREG_TSA_614_ch1_projection.tif,210,17,193,0.21304399489053263
TSA,MCF7_AREG_TSA_615_ch1_projection.tif,82,22,60,0.32014269122283057
TSA,MCF7_AREG_TSA_616_ch1_projection.tif,65,22,43,0.32765773552290406
TSA,MCF7_AREG_TSA_617_ch1_projection.tif,84,9,75,0.2468970552445851
TSA,MCF7_AREG_TSA_618_ch1_projection.tif,172,8,164,0.22228881962758731
TSA,MCF7_AREG_TSA_619_ch1_projection.tif,114,8,106,0.2092949620039403
TSA,MCF7_AREG_TSA_620_ch1_projection.tif,79,14,65,0.27151262225124945
TSA,MCF7_AREG_TSA_621_ch1_projection.tif,144,32,112,0.28365677321156774
TSA,MCF7_AREG_TSA_622_ch1_projection.tif,207,21,186,0.24684671316219026
TSA,MCF7_AREG_TSA_623_ch1_projection.tif,92,14,78,0.23165668189097813
TSA,MCF7_AREG_TSA_624_ch1_projection.tif,291,5,286,0.21500994150030459
TSA,MCF7_AREG_TSA_625_ch1_projection.tif,197,25,172,0.24705854640960107
